INFO 2023-04-11 05:37:29,140 "GET /static/wb_assets/video/overview_video.mp4 HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,393 "GET /static/wb_assets/video/overview_video.mp4 HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,396 "GET /static/wb_assets/video/about.mp4 HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,456 "GET /static/wb_assets/video/overview_video.mp4 HTTP/1.1" 206 28866
INFO 2023-04-11 05:37:29,460 "GET /static/wb_assets/video/about.mp4 HTTP/1.1" 206 3446
WARNING 2023-04-11 05:37:29,882 Not Found: /favicon.ico
WARNING 2023-04-11 05:37:29,882 "GET /favicon.ico HTTP/1.1" 404 4400
INFO 2023-04-11 05:37:30,511 "GET /static/wb_assets/video/overview_video.mp4 HTTP/1.1" 206 12939458
INFO 2023-04-11 05:37:59,393 "GET /admin/clearcache/ HTTP/1.1" 302 0
INFO 2023-04-11 05:37:59,459 "GET /accounts/login/?next=/admin/clearcache/ HTTP/1.1" 200 3988
INFO 2023-04-11 05:37:59,503 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,504 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,510 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,538 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,538 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,540 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,543 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,558 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,560 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,558 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-04-11 05:37:59,577 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
